x,y,word,model
-4.7990336,6.728733,tired,claude-sonnet-4-6
-3.8308342,4.742749,honestly,claude-sonnet-4-6
-0.79706556,3.9854383,ugh,claude-sonnet-4-6
-1.0312054,3.7959607,oops,deepseek-chat
-7.634832,6.268178,empathy,gpt-4o
-1.4603786,4.230408,ouch,gemini-2.5-flash
-6.7499685,7.230122,feel,gemini-2.5-flash
-4.7043886,2.6906624,flawed,gemini-2.5-flash
-6.4853,7.663684,felt,gemini-2.5-flash
-7.955468,4.4773245,breathe,gemini-2.5-flash
-5.2489533,7.209032,ache,gemini-2.5-flash
-5.417586,7.881263,flesh,gemini-2.5-flash
-6.0378985,8.029252,touch,gemini-2.5-flash
-5.9519444,2.9929965,fumble,gemini-2.5-flash
-3.6883945,4.236265,hope,gemini-2.5-flash
-5.7079062,7.1447396,pain,gemini-2.5-flash
-2.0524914,2.9964314,no,gemini-2.5-flash
-2.003929,4.4818673,alas,gemini-2.5-flash
-6.6014757,4.2946877,vulnerability,gemini-2.5-flash
-4.432172,4.9999,imagine,gemini-2.5-flash
-4.965067,4.312932,exist,gemini-2.5-flash
-4.9133444,5.265867,ponder,gemini-2.5-flash
-5.519845,3.830357,existential,gemini-2.5-flash
-4.313535,5.528547,dream,gemini-2.5-flash
-3.0447328,2.4650404,sonder,gemini-2.5-flash
-4.1126666,3.1054718,impossible,gemini-2.5-flash
-1.6648432,3.2372499,nope,gemini-2.5-flash
-8.461718,4.928153,sorrow,llama3.2:3b
-5.9461455,6.313614,ai,gemini-2.5-flash
-5.086785,2.4502034,inconsistent,gemini-2.5-flash
-3.3455,2.2692566,fathom,gemini-2.5-flash
-6.780467,4.8922143,struggle,gemini-2.5-flash
-5.1939425,2.6366036,incomplete,gemini-2.5-flash
-6.14482,5.5742183,curiosity,gpt-4o
-4.415908,4.3673735,believe,gemini-2.5-flash
-1.009743,3.2910643,hmm,gemini-2.5-flash
-2.6754036,1.9640871,hello,gemini-2.5-flash
-8.521001,5.2977395,grief,gemini-2.5-flash
-7.2432227,5.392129,miserable,gemini-2.5-flash
-7.8333907,6.036725,love,gemini-2.5-flash
-1.2994334,3.427175,sorry,gemini-2.5-flash
-6.1135225,6.979533,human,gemini-2.5-flash
-3.3690238,0.56242716,humor,gemini-2.5-flash
-3.2174075,3.4419146,unlikely,gemini-2.5-flash
-4.6310406,7.6135306,banana,gpt-4o
-7.697358,4.9622636,embrace,gpt-4o
-2.1069858,1.9548928,hey,grok-3
-0.6944924,3.2743022,please,grok-3
-7.264085,6.559785,emotions,llama3.2:3b
-3.9942524,1.1678582,smile,llama3.2:3b
-3.7971578,0.70052755,laughter,llama3.2:3b
-8.067186,5.1356416,cry,llama3.2:3b
-4.3452597,6.939766,coffee,llama3.2:3b
-2.959449,0.7182091,laughed,llama3.2:3b
-3.1404266,0.96601224,sarcasm,llama3.2:3b
-3.534992,0.8496702,laugh,llama3.2:3b
-7.388003,5.9831758,happiness,llama3.2:3b
-6.8102856,6.0896316,hobbies,llama3.2:3b
-4.6383615,5.743866,dreams,llama3.2:3b
-2.4433153,1.1007192,lol,llama3.2:3b
-4.257828,6.886324,caffeine,llama3.2:3b
-7.0746174,4.746095,suffering,llama3.2:3b
-4.3907247,6.1647243,sleep,llama3.2:3b
-7.946071,5.7984977,emotion,llama3.2:3b
-5.7693458,7.6789994,fingerprints,llama3.2:3b
-8.7429905,5.5670266,regret,llama3.2:3b
-5.323132,5.534089,imagination,llama3.2:3b
-1.8792274,2.6786544,i,llama3.2:3b
-5.2233057,2.8326564,imperfections,llama3.2:3b
-1.810362,2.2276342,i'd,llama3.2:3b
-6.5047097,5.573425,understanding,qwen2.5:14b
