x,y,word,model
2.6418135,0.07130146,tired,claude-sonnet-4-6
5.5992312,0.38821113,honestly,claude-sonnet-4-6
5.664784,-0.85734695,ugh,claude-sonnet-4-6
6.1019826,-0.45200348,oops,deepseek-chat
4.31466,-4.9154034,empathy,gpt-4o
6.0032535,-1.1628565,ouch,gemini-2.5-flash
4.438339,-4.2601514,feel,gemini-2.5-flash
6.4168515,2.4570057,flawed,gemini-2.5-flash
4.1126738,-4.4051685,felt,gemini-2.5-flash
6.578599,-2.5223453,breathe,gemini-2.5-flash
5.4126287,-3.4122756,ache,gemini-2.5-flash
4.495842,-2.380808,flesh,gemini-2.5-flash
3.9974983,-3.6384032,touch,gemini-2.5-flash
6.533611,-0.64908165,fumble,gemini-2.5-flash
6.9191375,-4.1778474,hope,gemini-2.5-flash
5.4357867,-3.6716146,pain,gemini-2.5-flash
6.0857167,1.1372286,no,gemini-2.5-flash
5.035684,-0.7111711,alas,gemini-2.5-flash
6.122047,2.4758587,vulnerability,gemini-2.5-flash
1.8273883,-1.1268702,imagine,gemini-2.5-flash
2.9725447,-2.6861215,exist,gemini-2.5-flash
3.9267018,-0.8331099,ponder,gemini-2.5-flash
3.1685944,-2.9822106,existential,gemini-2.5-flash
1.7109523,-0.8124812,dream,gemini-2.5-flash
4.7566824,-1.4255682,sonder,gemini-2.5-flash
6.41458,1.7768734,impossible,gemini-2.5-flash
6.089341,0.66542846,nope,gemini-2.5-flash
6.6183863,-4.016699,sorrow,llama3.2:3b
3.6293006,-0.9938408,ai,gemini-2.5-flash
6.8931046,2.565189,inconsistent,gemini-2.5-flash
4.82637,-1.7906972,fathom,gemini-2.5-flash
5.9235835,-3.9971585,struggle,gemini-2.5-flash
7.0613027,2.380252,incomplete,gemini-2.5-flash
2.3855133,-1.65189,curiosity,gpt-4o
2.8660908,-2.3489773,believe,gemini-2.5-flash
4.4882584,-0.5460792,hmm,gemini-2.5-flash
4.8210635,0.3314287,hello,gemini-2.5-flash
6.8240004,-3.5899708,grief,gemini-2.5-flash
5.8195934,-4.7222214,miserable,gemini-2.5-flash
4.95256,-4.702791,love,gemini-2.5-flash
5.6336823,-0.32707658,sorry,gemini-2.5-flash
4.0182614,-1.4920421,human,gemini-2.5-flash
8.195093,-1.4202774,humor,gemini-2.5-flash
6.034554,1.7554,unlikely,gemini-2.5-flash
3.683958,0.097951785,banana,gpt-4o
5.5869184,-4.4571037,embrace,gpt-4o
4.5489464,0.57820475,hey,grok-3
4.622173,0.11141946,please,grok-3
4.7765017,-4.91953,emotions,llama3.2:3b
7.428394,-2.1082687,smile,llama3.2:3b
8.088554,-1.5044751,laughter,llama3.2:3b
6.4648247,-3.3311057,cry,llama3.2:3b
3.2648087,0.4653871,coffee,llama3.2:3b
7.5256834,-1.2973875,laughed,llama3.2:3b
7.788405,-1.1244023,sarcasm,llama3.2:3b
7.8419213,-1.6329494,laugh,llama3.2:3b
5.246953,-5.0495777,happiness,llama3.2:3b
2.148625,-1.8572755,hobbies,llama3.2:3b
2.0093467,-0.71753734,dreams,llama3.2:3b
6.3719134,0.08941352,lol,llama3.2:3b
2.6825624,0.3849816,caffeine,llama3.2:3b
6.1734543,-4.225517,suffering,llama3.2:3b
2.0955145,-0.13096501,sleep,llama3.2:3b
4.5999107,-5.2294345,emotion,llama3.2:3b
4.174713,-3.157467,fingerprints,llama3.2:3b
7.1719213,-4.3214684,regret,llama3.2:3b
2.2078216,-1.3541824,imagination,llama3.2:3b
3.7276704,-0.3985744,i,llama3.2:3b
7.2361584,2.6612775,imperfections,llama3.2:3b
4.1014237,-0.26122442,i'd,llama3.2:3b
2.8050683,-1.7470118,understanding,qwen2.5:14b
